Id,Codigo,Descripcion,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
1,01111,Cultivo de cereales excepto arroz y para forrajes,,,,,,
2,01112,Cultivo de legumbres,,,,,,
3,01113,Cultivo de semillas oleaginosas,,,,,,
4,01114,Cultivo de plantas para la preparación de semillas,,,,,,
5,01119,Cultivo de otros cereales excepto arroz y forrajeros n.c.p.,,,,,,
6,01120,Cultivo de arroz,,,,,,
7,01131,Cultivo de raíces y tubérculos,,,,,,
8,01132,"Cultivo de brotes, bulbos, vegetales tubérculos y cultivos similares",,,,,,
9,01133,Cultivo hortícola de fruto,,,,,,
10,01134,Cultivo de hortalizas de hoja y otras hortalizas ncp,,,,,,
11,01140,Cultivo de caña de azúcar,,,,,,
12,01150,Cultivo de tabaco,,,,,,
13,01161,Cultivo de algodón,,,,,,
14,01162,Cultivo de fibras vegetales excepto algodón,,,,,,
15,01191,Cultivo de plantas no perennes para la producción de semillas y flores,,,,,,
16,01192,Cultivo de cereales y pastos para la alimentación animal,,,,,,
17,01199,Producción de cultivos no estacionales ncp,,,,,,
18,01220,Cultivo de frutas tropicales,,,,,,
19,01230,Cultivo de cítricos,,,,,,
20,01240,Cultivo de frutas de pepita y hueso,,,,,,
21,01251,Cultivo de frutas ncp,,,,,,
22,01252,Cultivo de otros frutos y nueces de árboles y arbustos,,,,,,
23,01260,Cultivo de frutos oleaginosos,,,,,,
24,01271,Cultivo de café,,,,,,
25,01272,Cultivo de plantas para la elaboración de bebidas excepto café,,,,,,
26,01281,Cultivo de especias y aromáticas,,,,,,
27,01282,Cultivo de plantas para la obtención de productos medicinales y farmacéuticos,,,,,,
28,01291,Cultivo de árboles de hule (caucho) para la obtención de látex,,,,,,
29,01292,Cultivo de plantas para la obtención de productos químicos y colorantes,,,,,,
30,01299,Producción de cultivos perennes ncp,,,,,,
31,01300,Propagación de plantas,,,,,,
32,01301,Cultivo de plantas y flores ornamentales,,,,,,
33,01410,Cría y engorde de ganado bovino,,,,,,
34,01420,Cría de caballos y otros equinos,,,,,,
35,01440,Cría de ovejas y cabras,,,,,,
36,01450,Cría de cerdos,,,,,,
37,01460,Cría de aves de corral y producción de huevos,,,,,,
38,01491,Cría de abejas apicultura para la obtención de miel y otros productos apícolas,,,,,,
39,01492,Cría de conejos,,,,,,
40,01493,Cría de iguanas y garrobos,,,,,,
41,01494,Cría de mariposas y otros insectos,,,,,,
42,01499,Cría y obtención de productos animales n.c.p.,,,,,,
43,01500,Cultivo de productos agrícolas en combinación con la cría de animales,,,,,,
44,01611,Servicios de maquinaria agrícola,,,,,,
45,01612,Control de plagas,,,,,,
46,01613,Servicios de riego,,,,,,
47,01614,Servicios de contratación de mano de obra para la agricultura,,,,,,
48,01619,Servicios agrícolas ncp,,,,,,
49,01621,"Actividades para mejorar la reproducción, el crecimiento y el rendimiento de los animales y sus productos",,,,,,
50,01622,Servicios de mano de obra pecuaria,,,,,,
51,01629,Servicios pecuarios ncp,,,,,,
52,01631,Labores post cosecha de preparación de los productos agrícolas para su comercialización o para la industria,,,,,,
53,01632,Servicio de beneficio de café,,,,,,
54,01633,Servicio de beneficiado de plantas textiles (incluye el beneficiado cuando este es realizado en la misma explotación agropecuaria),,,,,,
55,01640,Tratamiento de semillas para la propagación,,,,,,
56,01700,"Caza ordinaria y mediante trampas, repoblación de animales de caza y servicios conexos",,,,,,
57,02100,Silvicultura y otras actividades forestales,,,,,,
58,02200,Extracción de madera,,,,,,
59,02300,Recolección de productos diferentes a la madera,,,,,,
60,02400,Servicios de apoyo a la silvicultura,,,,,,
61,03110,Pesca marítima de altura y costera,,,,,,
62,03120,Pesca de agua dulce,,,,,,
63,03210,Acuicultura marítima,,,,,,
64,03220,Acuicultura de agua dulce,,,,,,
65,03300,Servicios de apoyo a la pesca y acuicultura,,,,,,
66,05100,Extracción de hulla,,,,,,
67,05200,Extracción y aglomeración de lignito,,,,,,
68,06100,Extracción de petróleo crudo,,,,,,
69,06200,Extracción de gas natural,,,,,,
70,07100,Extracción de minerales de hierro,,,,,,
71,07210,Extracción de minerales de uranio y torio,,,,,,
