Id,ClienteId,CodigoCliente,NombreCliente,NumeroFactura,CodigoGeneracion,FechaEmision,FechaPago,Estado,DteEmitido,FechaDteEmitido,DteInvalidado,FechaDteInvalidado,TotalMonto,TotalImpuestoMonto,Total,TotalImpuesto,TotalConImpuesto,MetodoDePago,Tipo,EsLiquidacion,EsIvaRetenido,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
1002,2,,,DTE-03-M001P001-000000000000001,f35a433e-f36b-1410-8df3-0066de520a2b,2025-07-14,2025-07-14T15:58:31.8902764,6,1,,1,,,,,,,1,2,0,0,mfuentes,2025-07-14T15:53:14.0490780,mfuentes,2025-07-15T22:33:05.5341929,3,3
1003,2,,,DTE-03-M001P001-000000000000002,fd20433e-f36b-1410-8df4-0066de520a2b,2025-07-15,2025-07-15T23:05:41.0408823,6,1,,1,,,,,,,1,2,0,0,mfuentes,2025-07-15T23:05:29.2146773,mfuentes,2025-07-16T17:01:09.9026729,3,3
1004,2,,,DTE-03-M001P001-000000000000003,0121433e-f36b-1410-8df4-0066de520a2b,2025-07-15,2025-07-15T23:10:46.7502120,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-07-15T23:10:46.7543953,mfuentes,2025-07-15T23:10:53.3399110,3,3
1005,2,,,DTE-03-M001P001-000000000000004,0221433e-f36b-1410-8df4-0066de520a2b,2025-07-16,2025-07-16T17:19:13.3829961,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-07-16T17:19:13.8975573,mfuentes,2025-07-16T17:19:52.2055516,3,3
1006,2,,,DTE-03-M001P001-000000000000005,0321433e-f36b-1410-8df4-0066de520a2b,2025-07-16,2025-07-16T17:21:23.3697488,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-07-16T17:21:23.3747220,mfuentes,2025-07-16T17:21:27.9960105,3,3
2003,1003,,,DTE-03-M001P001-000000000000006,5388433e-f36b-1410-8df5-0066de520a2b,2025-08-21,2025-08-21T15:57:57.0615250,6,1,,1,,,,,,,1,2,0,0,mfuentes,2025-08-21T15:57:57.3587001,mfuentes,2025-08-21T17:41:49.9356928,3,3
2004,1002,,,DTE-03-M001P001-000000000000007,5a88433e-f36b-1410-8df5-0066de520a2b,2025-08-21,2025-08-21T16:11:49.5391629,6,1,,1,,,,,,,1,2,0,0,mfuentes,2025-08-21T16:11:33.1786774,mfuentes,2025-08-21T21:54:50.8851384,3,3
2005,1004,,,DTE-03-M001P001-000000000000008,5c88433e-f36b-1410-8df5-0066de520a2b,2025-08-21,2025-08-21T22:02:30.7460063,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-08-21T22:02:30.7649130,mfuentes,2025-08-21T22:02:50.7060827,3,3
3005,2,,,DTE-03-M001P001-000000000000009,e5c0423e-f36b-1410-8df6-0066de520a2b,2025-08-29,2025-08-29T16:28:56.3922527,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-08-29T16:28:56.6676819,mfuentes,2025-08-29T16:29:27.8841280,3,3
4005,2003,,,DTE-03-M001P001-000000000000010,a89f433e-f36b-1410-8dfd-0066de520a2b,2025-09-22,2025-09-22T17:43:06.0762832,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-09-22T17:43:06.3210875,mfuentes,2025-09-22T17:43:41.0123508,3,3
5005,2,,,DTE-03-M001P001-000000000000011,2f6d433e-f36b-1410-8dfe-0066de520a2b,2025-09-30,2025-09-30T15:58:41.6573506,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-09-30T15:58:33.8099822,mfuentes,2025-09-30T15:58:55.1645863,3,3
5006,3003,,,DTE-03-M001P001-000000000000012,326d433e-f36b-1410-8dfe-0066de520a2b,2025-09-30,2025-09-30T22:04:20.6319157,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-09-30T22:03:52.5001416,mfuentes,2025-09-30T22:46:41.5948199,3,3
6005,2,,,DTE-03-M001P001-000000000000013,3c4b433e-f36b-1410-8e03-0066de520a2b,2025-10-16,2025-10-16T20:06:24.0123627,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-10-16T20:06:24.2882373,mfuentes,2025-10-16T20:07:04.5579679,3,3
7005,2003,,,DTE-03-M001P001-000000000000014,6016433e-f36b-1410-8e08-0066de520a2b,2025-10-27,2025-10-27T17:34:08.7041947,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-10-27T17:34:09.0092519,mfuentes,2025-10-27T17:34:35.2641706,3,3
8005,2003,,,DTE-03-M001P001-000000000000015,4a47433e-f36b-1410-8e13-0066de520a2b,2025-11-21,2025-11-21T16:16:05.4036665,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-11-21T16:16:05.7868118,mfuentes,2025-11-21T16:23:54.0754832,3,3
9005,2,,,DTE-03-M001P001-000000000000016,ad1f433e-f36b-1410-8e1b-0066de520a2b,2025-12-16,2025-12-16T05:18:41.8495375,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-12-16T05:18:42.0848321,mfuentes,2025-12-16T05:19:06.1293791,3,3
9006,2003,,,DTE-03-M001P001-000000000000017,ae1f433e-f36b-1410-8e1b-0066de520a2b,2025-12-16,2025-12-16T05:22:51.5956864,5,1,,0,,,,,,,1,2,0,0,mfuentes,2025-12-16T05:22:51.6076191,mfuentes,2025-12-16T05:23:09.7336680,3,3
