Id,Nombre,Abreviatura,Codigo,Nacionalidad,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
1,ANGUILA,AIA,9320,Anguillano/a,SA,2025-04-28T16:29:47.3200000,,,,
2,ISLAS TURCAS Y CAICOS,TCA,9539,Caicosiano/a,SA,2025-04-28T16:29:47.3200000,,,,
3,LITUANIA,LTU,9565,Lituano/a,SA,2025-04-28T16:29:47.3200000,,,,
4,DAKOTA DEL SUR (USA),USA,9905,Estadounidense,SA,2025-04-28T16:29:47.3200000,,,,
5,No definido en migración,,9999,,SA,2025-04-28T16:29:47.3200000,,,,
6,AFGANISTAN,AFG,9303,Afgano/a,SA,2025-04-28T16:29:47.3200000,,,,
7,ALBANIA,ALB,9306,Albanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
8,ALEMANIA OCCID,DEU,9309,Alemán/ana,SA,2025-04-28T16:29:47.3200000,,,,
9,ALEMANIA ORIENT,DEU,9310,Alemán/ana,SA,2025-04-28T16:29:47.3200000,,,,
10,ALTO VOLTA,BFA,9315,Burkinés/esa,SA,2025-04-28T16:29:47.3200000,,,,
11,ANDORRA,AND,9317,Andorrano/a,SA,2025-04-28T16:29:47.3200000,,,,
12,ANGOLA,AGO,9318,Angoleño/a,SA,2025-04-28T16:29:47.3200000,,,,
13,ANTIG Y BARBUDA,ATG,9319,Antiguano/a,SA,2025-04-28T16:29:47.3200000,,,,
14,ARABIA SAUDITA,SAU,9324,Saudí,SA,2025-04-28T16:29:47.3200000,,,,
15,ARGELIA,DZA,9327,Argelino/a,SA,2025-04-28T16:29:47.3200000,,,,
16,ARGENTINA,ARG,9330,Argentino/a,SA,2025-04-28T16:29:47.3200000,,,,
17,AUSTRALIA,AUS,9333,Australiano/a,SA,2025-04-28T16:29:47.3200000,,,,
18,AUSTRIA,AUT,9336,Austriaco/a,SA,2025-04-28T16:29:47.3200000,,,,
19,BANGLADESH,BGD,9339,Bangladesí,SA,2025-04-28T16:29:47.3200000,,,,
20,BAHREIN,BHR,9342,Bahreiní,SA,2025-04-28T16:29:47.3200000,,,,
21,BARBADOS,BRB,9345,Barbadense,SA,2025-04-28T16:29:47.3200000,,,,
22,BELGICA,BEL,9348,Belga,SA,2025-04-28T16:29:47.3200000,,,,
23,BELICE,BLZ,9349,Beliceño/a,SA,2025-04-28T16:29:47.3200000,,,,
24,BENIN,BEN,9350,Beninés/esa,SA,2025-04-28T16:29:47.3200000,,,,
25,BIRMANIA,MMR,9354,Birmano/a,SA,2025-04-28T16:29:47.3200000,,,,
